"drought","juv","juv_lcl","juv_ucl","ad_fem","ad_fem_lcl","ad_fem_ucl","ad_male","ad_male_lcl","ad_male_ucl","trans","trans_lcl","trans_ucl","lambda","lambda_lcl","lambda_ucl","probdecline"
-3,0.643545741782678,0.26857593228948,0.894683637574521,0.909722101647181,0.824640220020846,0.963203603342868,0.888891826898176,0.788408495005457,0.953521555908901,0.0883347048239936,0.0326313041413697,0.224599422308816,0.963460158687121,0.874107945484832,1.04824254757455,0.823833333333333
-1.08366532976827,0.763241827012645,0.432398484927525,0.943406057450012,0.962033715561419,0.924555739222086,0.984493086743905,0.952572873315754,0.906429646284007,0.980348549572087,0.0883347048239936,0.0326313041413697,0.224599422308816,1.02943004446671,0.970271160798665,1.09795617005425,0.174333333333333
0,0.816325997753648,0.518706757221832,0.962518782089188,0.976982464063422,0.952169768219319,0.991003647347519,0.971127989005171,0.940610789852521,0.988669703025717,0.0883347048239936,0.0326313041413697,0.224599422308816,1.05312393012351,0.996305459529962,1.11882074424038,0.0348333333333333
3,0.911070036789782,0.702713123821381,0.991328497388175,0.994218984585068,0.985627236677651,0.998314191521883,0.992717807545388,0.982169915412544,0.997842381234238,0.0883347048239936,0.0326313041413697,0.224599422308816,1.09122551320195,1.03255602251931,1.1512207797647,0.000166666666666667
