"param","mean","median","lcl","ucl"
"phi1.mn",0.767405444335139,0.768672255288158,0.703793390278102,0.824766581572828
"phi2.f",0.961702540803868,0.962751434615454,0.940160829916442,0.978053188130441
"phi2.m",0.952202306510181,0.953274474696767,0.925912580499974,0.97205514298754
"psi12.mn",0.088969064214112,0.0864421062372843,0.0649309764312404,0.12997482097163
"p1.mn",0.408206817081974,0.406601409827143,0.329246303636935,0.497606302277406
"p2.f",0.680164104461967,0.680131915460795,0.649165793267074,0.710441629671745
"p2.m",0.800036494327126,0.800312426289265,0.768534191404984,0.831032881278309
"lambda",1.02801615358696,1.02827474310076,1.0039865044634,1.05078798681956
