"div","yr","mon","pdsi"
1,2004,12,4.07
1,2005,1,5.19
1,2005,2,6.73
1,2005,3,6.15
1,2005,4,6.21
1,2005,5,6.93
1,2005,6,7.23
1,2005,7,-0.27
1,2005,8,-0.07
1,2005,9,-0.72
1,2005,10,0.89
1,2005,11,-0.57
1,2005,12,-1.18
1,2006,1,-1.8
1,2006,2,-2.52
1,2006,3,-2.16
1,2006,4,-2.22
1,2006,5,-3.05
1,2006,6,-3.47
1,2006,7,-3.16
1,2006,8,-3.69
1,2006,9,-3.44
1,2006,10,-2.62
1,2006,11,-3.03
1,2006,12,-3.2
1,2007,1,-3.43
1,2007,2,-3.86
1,2007,3,-4.5
1,2007,4,-4.94
1,2007,5,-5.46
1,2007,6,-5.81
1,2007,7,-5.42
1,2007,8,-5.21
1,2007,9,-4.52
1,2007,10,-4.61
1,2007,11,-4.7
1,2007,12,-3.36
1,2008,1,-2.53
1,2008,2,-2.14
1,2008,3,-2.43
1,2008,4,-2.6
1,2008,5,-2.14
1,2008,6,-1.9
1,2008,7,-2.15
1,2008,8,-2.24
1,2008,9,-2.64
1,2008,10,-2.88
1,2008,11,-2.59
1,2008,12,-1.71
1,2009,1,-1.94
1,2009,2,-1.33
1,2009,3,-1.77
1,2009,4,-1.97
1,2009,5,-2.17
1,2009,6,-2.34
1,2009,7,-2.79
1,2009,8,-3.49
1,2009,9,-3.69
1,2009,10,-3.8
1,2009,11,-4.05
1,2009,12,0.33
1,2010,1,1.48
1,2010,2,1.76
1,2010,3,1.77
1,2010,4,1.92
1,2010,5,2.11
1,2010,6,2.68
1,2010,7,-0.68
1,2010,8,-1.07
1,2010,9,-1.71
1,2010,10,0.98
1,2010,11,0.49
1,2010,12,1.45
1,2011,1,0.76
1,2011,2,1.33
1,2011,3,-0.31
1,2011,4,0.07
1,2011,5,0.3
1,2011,6,0.37
1,2011,7,-0.22
1,2011,8,-1.31
1,2011,9,-1.14
1,2011,10,-0.63
1,2011,11,-0.59
1,2011,12,-0.58
1,2012,1,-1.16
1,2012,2,-1.41
1,2012,3,-1.78
1,2012,4,-2.15
1,2012,5,-2.97
1,2012,6,-3.61
1,2012,7,-2.67
1,2012,8,-1.85
1,2012,9,-1.91
1,2012,10,-1.73
1,2012,11,-2.26
1,2012,12,-1.74
1,2013,1,-1.54
1,2013,2,-1.7
1,2013,3,-2.12
1,2013,4,-2.68
1,2013,5,-3.07
1,2013,6,-3.53
1,2013,7,-3.29
1,2013,8,-2.81
1,2013,9,-1.44
1,2013,10,-1.61
1,2013,11,-1.28
1,2013,12,-1.66
1,2014,1,-2.42
1,2014,2,-2.99
1,2014,3,-3.53
1,2014,4,-3.98
1,2014,5,-4.49
1,2014,6,-4.91
1,2014,7,-4.43
1,2014,8,-3.02
1,2014,9,-1.52
1,2014,10,-2.01
1,2014,11,-2.42
1,2014,12,-2.06
1,2015,1,-2.02
1,2015,2,-2.36
1,2015,3,-2.32
1,2015,4,-2.58
1,2015,5,-2.21
1,2015,6,-2.43
1,2015,7,-1.84
1,2015,8,-1.74
1,2015,9,-1.92
1,2015,10,-1.05
1,2015,11,-1.17
1,2015,12,-1.39
1,2016,1,-1.1
1,2016,2,-1.68
1,2016,3,-2.41
1,2016,4,-2
1,2016,5,-2.01
1,2016,6,-2.48
1,2016,7,-2.72
1,2016,8,0.61
1,2016,9,0.55
1,2016,10,-0.36
1,2016,11,-0.67
1,2016,12,1.14
1,2017,1,1.88
1,2017,2,1.84
1,2017,3,1.17
1,2017,4,0.83
1,2017,5,1.17
1,2017,6,1.15
1,2017,7,2.07
1,2017,8,-0.46
1,2017,9,-0.17
1,2017,10,-0.83
1,2017,11,-1.59
1,2017,12,-2.24
