code,dist.km
AM,77.09981669
BZ,78.55686588
BM,28.49836062
ET,65.42544826
EB,28.58246141
FP,25.47912858
GH,23.0135001
HM,89.21470399
HQ,82.59367773
HF,48.51865439
LS,55.94702447
MM,34.04319456
NW,66.93921415
SP,32.44227741
TM,18.6625243
WS,28.12968024
WM,35.8333917
